Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Category,Sub_Category,Product_Name,Quantity,Discount,Sales,Profit
ORD-00777,2024-01-01,CUST-0076,Daniel Thompson,Corporate,East,New Jersey,Furniture,Desks,Standing Desk,4,0,1856.33,336.77
ORD-00920,2024-01-01,CUST-0027,Benjamin Smith,Home Office,East,New York,Technology,Phones,Smartphone,3,0.1,1961.34,60.92
ORD-00131,2024-01-02,CUST-0135,James Brown,Consumer,East,Massachusetts,Office Supplies,Binders,Premium Binder Pack,6,0,148.91,47.67
ORD-00793,2024-01-03,CUST-0132,Liam Thompson,Home Office,Central,Ohio,Technology,Accessories,Wireless Mouse,7,0,276.66,79.21
ORD-00832,2024-01-03,CUST-0236,Noah Johnson,Small Business,South,South Carolina,Office Supplies,Paper,Printer Paper Case,4,0.2,118.89,11.79
ORD-00359,2024-01-05,CUST-0071,James Wilson,Small Business,Central,Michigan,Technology,Accessories,Wireless Keyboard,6,0,360.4,85.66
ORD-00384,2024-01-05,CUST-0076,Isabella Davis,Small Business,West,Colorado,Furniture,Chairs,Ergonomic Office Chair,5,0,1608.63,187.43
ORD-00549,2024-01-05,CUST-0242,Luna Wilson,Home Office,West,Arizona,Technology,Accessories,Wireless Keyboard,6,0.15,300.27,13.04
ORD-00726,2024-01-05,CUST-0233,Lucas Moore,Consumer,West,California,Furniture,Chairs,Ergonomic Office Chair,1,0.2,255.29,-13.21
ORD-00889,2024-01-06,CUST-0078,Olivia Anderson,Small Business,East,Massachusetts,Office Supplies,Writing,Pen Set,1,0,20.13,5.72
ORD-00108,2024-01-08,CUST-0075,Isabella Davis,Consumer,West,Oregon,Technology,Laptops,Business Laptop,4,0,3859.81,805.83
ORD-00677,2024-01-10,CUST-0092,Mia Brown,Small Business,Central,Illinois,Office Supplies,Storage,File Storage Box,4,0.15,96.33,16.15
ORD-00504,2024-01-13,CUST-0175,Liam Davis,Small Business,East,Maryland,Office Supplies,Binders,Premium Binder Pack,5,0.2,96.11,10.1
ORD-00902,2024-01-14,CUST-0020,Ethan Smith,Small Business,Central,Michigan,Technology,Accessories,Wireless Keyboard,8,0.05,405.54,64.25
ORD-00088,2024-01-15,CUST-0068,Luna Harris,Small Business,Central,Texas,Office Supplies,Binders,Premium Binder Pack,5,0.1,98.64,22.22
ORD-00727,2024-01-15,CUST-0226,Noah Miller,Corporate,South,Florida,Technology,Laptops,Business Laptop,6,0.2,3802.07,-305.77
ORD-00965,2024-01-16,CUST-0121,Noah Wilson,Consumer,East,Pennsylvania,Office Supplies,Storage,File Storage Box,3,0,95.33,28.03
ORD-00817,2024-01-17,CUST-0223,Jack Robinson,Corporate,Central,Illinois,Technology,Monitors,27-inch Monitor,2,0.15,514.73,33.18
ORD-00863,2024-01-17,CUST-0026,Harper Martinez,Consumer,South,North Carolina,Furniture,Desks,Standing Desk,7,0,3691.07,677.13
ORD-00121,2024-01-19,CUST-0125,Mia Taylor,Corporate,West,Oregon,Office Supplies,Paper,Printer Paper Case,6,0,234.03,76.13
ORD-00640,2024-01-19,CUST-0229,Evelyn Johnson,Consumer,East,Maryland,Technology,Laptops,Business Laptop,6,0,4979.65,1068.21
ORD-00280,2024-01-21,CUST-0097,Ethan Brown,Consumer,South,North Carolina,Technology,Monitors,27-inch Monitor,6,0,1910.07,334.85
ORD-00299,2024-01-21,CUST-0003,Lucas Anderson,Small Business,Central,Michigan,Office Supplies,Writing,Pen Set,1,0.05,19.26,5.29
ORD-00430,2024-01-23,CUST-0025,Liam Thompson,Small Business,East,Pennsylvania,Office Supplies,Paper,Printer Paper Case,5,0.1,192.41,34.1
ORD-00256,2024-01-25,CUST-0244,Isabella Smith,Home Office,East,New York,Office Supplies,Binders,Premium Binder Pack,4,0.1,84.11,17.54
ORD-00665,2024-01-25,CUST-0044,Mason Wilson,Corporate,West,Washington,Office Supplies,Binders,Premium Binder Pack,6,0.05,129.88,29.29
ORD-00089,2024-01-26,CUST-0233,Mason Martin,Consumer,South,South Carolina,Office Supplies,Storage,File Storage Box,6,0.1,162.39,35.78
ORD-00992,2024-01-26,CUST-0165,Mason Jackson,Corporate,West,Washington,Furniture,Chairs,Ergonomic Office Chair,7,0.2,1715.66,-74.97
ORD-00782,2024-01-27,CUST-0105,Olivia Jackson,Consumer,Central,Michigan,Office Supplies,Binders,Premium Binder Pack,4,0,91.48,29.42
ORD-00866,2024-01-27,CUST-0154,Isabella Jackson,Corporate,West,California,Technology,Laptops,Business Laptop,3,0.2,2001.42,-88.47
ORD-00046,2024-01-28,CUST-0035,Harper Miller,Consumer,East,Maryland,Office Supplies,Writing,Pen Set,7,0.1,117.07,30.0
ORD-00271,2024-01-29,CUST-0208,Benjamin Robinson,Small Business,Central,Ohio,Furniture,Chairs,Ergonomic Office Chair,6,0.1,1811.46,23.83
ORD-00298,2024-01-29,CUST-0220,Lucas Taylor,Corporate,Central,Texas,Technology,Monitors,27-inch Monitor,7,0,1811.01,447.03
ORD-00916,2024-01-29,CUST-0078,Lucas Clark,Small Business,West,Colorado,Office Supplies,Storage,File Storage Box,1,0.2,25.44,0.88
ORD-00324,2024-01-30,CUST-0012,Olivia Anderson,Small Business,West,Arizona,Furniture,Chairs,Ergonomic Office Chair,3,0.05,1045.28,108.32
ORD-00403,2024-01-30,CUST-0120,Daniel Anderson,Home Office,East,Maryland,Technology,Accessories,Wireless Keyboard,1,0.15,45.64,2.53
ORD-00620,2024-01-30,CUST-0245,Sophia Lewis,Consumer,South,Georgia,Technology,Accessories,Wireless Keyboard,2,0.05,115.4,18.59
ORD-00835,2024-01-31,CUST-0213,Henry Wilson,Corporate,West,Oregon,Technology,Accessories,Wireless Keyboard,3,0,151.49,27.44
ORD-00937,2024-01-31,CUST-0016,Ava Moore,Small Business,West,Arizona,Furniture,Desks,Standing Desk,1,0,516.77,92.98
ORD-00837,2024-02-02,CUST-0243,Harper Robinson,Small Business,East,New York,Furniture,Desks,Standing Desk,3,0.1,1296.31,44.52
ORD-00340,2024-02-03,CUST-0144,Lucas Robinson,Home Office,Central,Illinois,Office Supplies,Writing,Pen Set,6,0.2,86.59,9.25
ORD-00580,2024-02-03,CUST-0043,Benjamin Martin,Corporate,West,Colorado,Technology,Laptops,Business Laptop,3,0.1,2428.2,225.48
ORD-00734,2024-02-08,CUST-0085,Ava Anderson,Small Business,West,Washington,Furniture,Desks,Standing Desk,4,0.15,1841.34,-71.07
